Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
12.7683735;61.8181498;9.408136106;93.76420914;4372.093424;3328.884156;10.6018938;44974439600;20.8531747;8.000910822;50
10.3865094;62.02621319;13.23720253;27.90765774;2255.492255;1397.43669;12.28751821;1.07957E+11;18.73739679;7.359977727;11
1.221942129;59.21429704;16.80944209;66.56828647;1106.92647;806.7532806;9.802470468;9.32915E+11;33.58489158;8.400938217;35
5.11467062;52.41429881;12.97380272;60.95533028;2627.905245;1589.801489;8.627168802;3.49038E+11;24.13099153;14.08742442;25
0;84.90583264;20.5196878;71.94127836;885.8094913;685.9544229;14.3469988;25755442381;19.42443802;23.53013325;15
4.846448876;59.07172965;3.07582586;73.25969497;9547.333393;9068.294218;10.3444235;9.60398E+11;21.5433381;6.389222408;149
8.222468607;87.10568311;24.73499126;73.85760163;1909.668808;1656.424794;5.125841682;2.31461E+11;26.1664999;23.86438113;5
0;57.09894671;5.750459096;95.39714506;6585.443349;5348.884253;13.09678869;16840666300;22.51684125;1.969984822;146
0;65.92835452;11.7935958;61.70184927;3702.749141;2271.088885;8.304484704;12108691921;19.27550655;8.855832654;15
0.889144249;59.33431815;6.60348433;98.53121881;4047.74818;3154.331349;10.91669509;81483192756;17.78613778;7.656248079;39
9.650800466;40.33564388;3.861312471;37.76730939;9693.197844;6920.189125;17.38813755;9.61127E+11;18.50340951;15.12040663;104
16.17384804;56.11712522;2.948570303;79.32960685;19367.58327;15384.73836;22.03924773;3.80735E+11;20.45216091;11.57236146;73
1.624416917;54.24362167;2.331412417;73.83306903;7017.71418;5602.010466;18.15352832;2.66503E+11;18.92492117;6.2552491;858
0.244361903;51.6043425;17.1536228;89.74162869;3485.322409;3595.037163;10.47748228;10974641470;36.38476433;4.389899684;22
3.8406179;58.22838117;7.452353946;144.2223631;9901.509885;7245.446857;12.9893239;2.79936E+11;19.51607916;14.93992502;152
1.558066571;48.45965369;4.416915436;79.00956288;10293.53023;7348.030716;18.94298761;1.36741E+12;17.99576134;6.439038091;195
4.332246583;54.52618601;6.934558676;73.06690857;6002.33107;4714.073055;13.73002945;1.99929E+11;24.07737581;5.202033812;94
0;48.72981383;7.915311043;57.83480191;7815.97494;6103.741917;12.80526867;26188757856;22.36499928;10.51678595;112
4.803565789;88.47789884;21.99480637;53.06586284;1202.888186;1062.556918;13.33857571;19561215518;11.61477571;2.93314243;16
11.41771046;61.05319934;9.355655707;100;4393.725027;3567.837186;10.92815513;49039661800;20.76927799;6.650502273;54
9.088115941;61.0347856;13.42012621;31.4228337;2373.416414;1667.317998;11.33190118;1.31615E+11;20.8568609;12.59573982;14
1.080923914;58.47204988;16.75011976;71.19106671;1173.875311;1028.334772;9.862115728;1.21164E+12;35.81287812;6.944418254;49
4.525872567;51.89208513;13.7166831;67.818034;2757.893741;1860.002811;8.346469679;4.14441E+11;24.94694364;11.25857853;32
0;84.53125258;20.58666446;77.78973422;920.649169;825.666555;14.62961147;31814012977;19.96472911;8.129485595;18
4.37300582;58.13095805;3.181714703;77.50074362;9622.047869;9642.680517;10.40538114;1.03499E+12;21.94190503;5.789061291;170
7.247427535;87.44536813;24.66257721;79.10129266;1982.657731;1883.461388;9.448340036;2.63777E+11;20.18003679;7.099730995;11
0;56.79197751;4.846703915;100;7242.257262;6166.187862;12.46666825;20041684200;27.86741408;4.824939923;176
0;64.7883207;12.70973478;69.49818991;3848.042339;2976.824014;7.671423789;16861852701;17.88365847;12.63550564;17
0.795335287;58.67808779;6.705808385;100;4356.739273;3606.070689;10.45503029;94276765740;19.98542352;1.490675955;42
8.072603399;39.70574348;3.778901706;42.99477304;10535.1258;9101.255049;17.29753429;1.27088E+12;20.99525445;13.84123924;133
14.34185119;53.94508365;2.770189776;86.02137611;19187.81575;16516.63178;20.66207111;4.22361E+11;23.65157516;8.435399496;88
2.037225469;53.64949955;2.643372701;80.36685195;7299.018997;6095.62157;17.81401487;2.89648E+11;20.64695838;8.849399068;866
0.273354432;50.75273712;16.83708638;93.43645822;3775.581314;4370.540127;10.37896602;12936158461;33.94930423;4.117185731;28
3.99716814;57.66954867;7.318954597;177.6403647;10201.47619;9020.873323;13.63351326;3.52524E+11;19.01016098;23.17116498;188
1.826879471;47.71544605;4.567851183;85.94545902;10710.87222;8831.023117;18.83939288;1.65424E+12;19.38532955;8.778552726;234
6.243625136;53.31535351;6.68738485;78.67653493;6126.926503;5472.53653;13.14394591;2.33818E+11;21.91378102;7.677382915;120
0;47.79448556;6.976960469;64.44172579;8079.013658;6901.388306;13.57747474;30207530277;23.74497153;11.42378578;144
6.589001356;88.05649032;22.67704581;57.57782468;1206.150799;1240.614893;12.66976339;23421491786;10.93867648;8.502569447;19
12.44860547;60.33333517;8.965682892;113.8473189;4596.144866;4249.01897;11.83043437;60333815800;22.37358234;13.8473189;72
10.19754555;60.28013169;12.63024009;35.25767144;2498.42793;2044.527804;10.88777219;1.64178E+11;22.28193188;12.20398447;18
1.669619511;57.70570291;16.79094236;77.73635176;1192.511735;998.5223415;10.53848116;1.19174E+12;34.71795935;9.193969626;46
6.111288512;51.50823689;14.48174026;80.12683848;2885.309361;2166.854231;8.42378092;4.92096E+11;27.69859122;18.14975125;35
0;84.25917912;22.19634016;89.57579295;897.6018629;902.0699578;15.67397942;35863494629;18.86492382;15.15117496;20
5.076305946;57.14931404;3.160378717;82.28448637;9587.636253;10016.57121;10.72951888;1.09433E+12;23.1643912;6.172512071;178
8.380473125;87.66870041;25.27975078;85.36721234;2061.419017;2242.8719;9.428957363;3.21881E+11;18.85976721;7.921387201;8
0;56.53864869;4.494664522;107.5274953;7814.537245;7154.274496;12.07274984;23648788600;31.55002245;7.527495301;220
0;63.79192301;13.70283196;77.9941734;4042.181234;4047.909791;7.430067452;23506694214;18.9270604;12.22475506;24
1.252894505;58.09537236;7.160941146;101.1032763;4716.196602;4220.616378;10.37086179;1.12245E+11;23.42658037;1.103276292;52
9.151269727;39.15791011;3.753341188;50.73964436;11087.82105;11635.27293;17.83057609;1.61436E+12;22.29046107;18.01351833;156
17.28048591;51.91016572;2.316874267;101.2383825;19832.65888;20078.26007;17.7042537;5.28962E+11;22.80374732;17.68979654;109
4.576113225;53.20644517;2.859484952;87.46445766;7432.116611;5760.805172;18.6579251;2.77828E+11;23.51127851;8.83150894;844
0.134603127;50.04407756;16.79438767;95.70009274;3928.450391;4114.140114;11.1094361;11851853961;32.70886883;2.422645898;28
2.302963163;57.17997682;5.273623469;204.9572772;9502.244054;8225.137583;15.90389675;3.22658E+11;15.58175264;15.37764937;182
1.010487251;46.99178828;4.476773992;92.23106532;10594.98676;8597.915485;19.6506384;1.63013E+12;19.10195804;7.313482736;248
3.464678817;52.17625383;6.689740696;81.8741267;6128.195589;5193.241458;13.80414455;2.25258E+11;22.64670816;4.064225467;118
0;46.95993818;7.049629701;70.69343085;7906.380826;6801.036735;15.74812812;29731665122;21.00356297;9.701330918;132
3.180990894;87.49678807;21.20021808;58.92845236;1217.20787;1215.166785;12.63534697;23436745169;10.87101671;2.34574282;18
5.705524027;59.59227221;9.913941346;114.5936308;4547.512995;4231.619235;13.72571673;61249036100;22.80511933;0.655537559;77
