Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.475823924;0.968746701;0.669144757;0.02386397;0.089240609;0.065617609;0.170841534;0.08140662;0.643979979;0.471417826;0.004878049
0;0.635026491;0.155564622;0.030823565;0.307743924;0.21189069;0.436508891;0.005922992;0.554158753;0.03891515;0.142439024
0;0.733222836;0.319046921;0.019936351;0.173032929;0.089966911;0.276783988;0.00425872;0.474386729;0.17493843;0.014634146
0.05145366;0.659887196;0.178641135;0.031836209;0.189155056;0.124955676;0.363847549;0.028658268;0.437732088;0.151241794;0.03804878
0.558479693;0.448593255;0.104458375;0.012202914;0.452972197;0.274136358;0.57953723;0.338035783;0.455384759;0.298689045;0.101463415
0.935960257;0.624107154;0.079766366;0.025632018;0.905065272;0.609450995;0.734556219;0.133907438;0.503345201;0.228600836;0.071219512
0.094002965;0.603270966;0.063070667;0.023856043;0.327944344;0.221918032;0.605047291;0.093731162;0.465758522;0.123566411;0.837073171
0.014140916;0.573918197;0.464049356;0.028996223;0.162872374;0.142413795;0.349208824;0.003859866;0.89546022;0.086718233;0.021463415
0.222251731;0.647587507;0.201605229;0.046599376;0.462706813;0.287021118;0.432927148;0.098455651;0.480307427;0.295123805;0.148292683
0.090163354;0.538944509;0.119488856;0.025528609;0.48102629;0.291084874;0.631359542;0.480928649;0.442891103;0.127196985;0.190243902
0.250701665;0.606413508;0.187597543;0.023608491;0.280494542;0.186743281;0.457614463;0.070316572;0.592564845;0.102761159;0.091707317
0;0.541949098;0.214129402;0.018686878;0.365247816;0.24179362;0.426792686;0.009210788;0.550421792;0.20774896;0.109268293
0.277976315;0.984007812;0.595015749;0.017145996;0.056212089;0.042092128;0.444567522;0.00687983;0.28584958;0.057941399;0.015609756
0.660728554;0.67900375;0.253094408;0.032310784;0.205322878;0.141336295;0.364229506;0.017247627;0.511149724;0.131374256;0.052682927
0.525917847;0.678798961;0.363048727;0.010152964;0.110911968;0.066049132;0.377686144;0.046290011;0.513305214;0.248816688;0.013658537
0.062551708;0.650297471;0.453133567;0.023002392;0.054856291;0.040736452;0.328698989;0.426143138;0.88138561;0.137180283;0.047804878
0.261906557;0.577118329;0.371071349;0.021912538;0.128878953;0.073682148;0.278183325;0.145762098;0.613965654;0.222402357;0.031219512
0;0.940115147;0.55692191;0.025134473;0.043022796;0.032707953;0.487597046;0.011189234;0.491349087;0.160590145;0.017560976
0.25306035;0.646504015;0.086073518;0.025041098;0.449647292;0.381985127;0.346805732;0.36401397;0.54000908;0.114357321;0.165853659
0.419399522;0.972524512;0.667185772;0.025558248;0.092651449;0.074611436;0.314908069;0.092772406;0.496647993;0.140248336;0.010731707
0;0.63161253;0.131115733;0.032310784;0.338437452;0.244267354;0.415507317;0.007048815;0.685840934;0.095312033;0.171707317
0;0.720543938;0.343830823;0.02245541;0.179822616;0.117923901;0.25568441;0.005930444;0.440132155;0.249602224;0.016585366
0.046025053;0.652588924;0.181409262;0.032310784;0.203594499;0.142850877;0.348460511;0.033157866;0.491858394;0.029446865;0.04097561
0.467151412;0.441587812;0.102228953;0.013891948;0.492316277;0.3605371;0.576517472;0.446978303;0.516711198;0.273420328;0.129756098
0.829944902;0.599950772;0.074940716;0.027794181;0.896664567;0.654289819;0.688655667;0.148547623;0.582085526;0.166633179;0.085853659
0.117891677;0.596663431;0.07150999;0.02596716;0.341089981;0.241471941;0.593731491;0.101871437;0.508139333;0.174811341;0.844878049
0.015818677;0.564447059;0.455486236;0.030190052;0.176436444;0.173134568;0.34592533;0.004549747;0.835521461;0.081331032;0.027317073
0.231311096;0.641372446;0.197996435;0.057396994;0.476724519;0.357352858;0.454397631;0.123985411;0.467856347;0.45772401;0.183414634
0.105719219;0.530667797;0.123572054;0.027769651;0.500529072;0.349832132;0.627906786;0.581808973;0.477089567;0.17341184;0.228292683
0.361310739;0.592947222;0.180910859;0.025421005;0.286317003;0.216789051;0.438080616;0.082235595;0.539316924;0.151659293;0.117073171
0;0.531546836;0.18874462;0.020821627;0.377539861;0.273391583;0.452529897;0.010624222;0.584384091;0.225665867;0.140487805
0.381297227;0.979321113;0.613472071;0.018603846;0.056364554;0.049145716;0.422276369;0.008237519;0.269210199;0.167960056;0.018536585
0.720385152;0.670997773;0.242544646;0.036784961;0.214782146;0.168320629;0.394301986;0.021219869;0.550633028;0.273540425;0.070243902
0.590119144;0.67040607;0.341680288;0.01139203;0.116753873;0.08099192;0.362883565;0.05774267;0.548377432;0.241077939;0.017560976
0.096618783;0.641774536;0.454237923;0.025117224;0.055727188;0.039555462;0.351241883;0.419144154;0.854438722;0.181618;0.044878049
0.353652585;0.572849357;0.391768102;0.025889609;0.134833204;0.085837759;0.280760067;0.173073961;0.681686059;0.358530826;0.034146341
0;0.937089279;0.600467754;0.028942641;0.041945774;0.035734598;0.522405266;0.012613468;0.464281936;0.299296844;0.019512195
0.293759445;0.635586652;0.085496325;0.026586762;0.448039205;0.396796432;0.357609067;0.384884306;0.570095512;0.121932021;0.173658537
0.484967446;0.975008304;0.683881895;0.027582815;0.096332038;0.088849123;0.314262055;0.113208032;0.464155028;0.156479362;0.007804878
0;0.628795131;0.121592167;0.034742976;0.365180631;0.283409416;0.402378229;0.008317461;0.776473081;0.148698407;0.214634146
0;0.709462492;0.37069664;0.025200529;0.188894908;0.160353891;0.247640134;0.008267486;0.465811171;0.241488242;0.023414634
0.07250343;0.646108248;0.193721767;0.032667261;0.220392276;0.167195489;0.34565522;0.039477433;0.576548212;0.021794159;0.050731707
