Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0;0.781584859;0.264814559;0.030228077;0.288463381;0.194778368;0.464767809;0.005348593;0.509463275;0.0345364;0.299303944
0;0.915035044;0.559686685;0.018314454;0.167622758;0.073033718;0.270599356;0.003293147;0.471219087;0.255870544;0.027842227
0.046938571;0.816612287;0.301734692;0.029572096;0.177400166;0.108126375;0.38143941;0.025089434;0.419912455;0.069212656;0.081206497
0.53731762;0.555061887;0.187351609;0.010600131;0.417274586;0.210883656;0.562319277;0.262194938;0.43697557;0.380846582;0.199535963
0.98090308;0.792707425;0.141784614;0.022973447;0.9057325;0.546334662;0.711259866;0.116476451;0.475293809;0.398036161;0.129930394
0.022725058;0.715171922;0.779549195;0.027776848;0.152525178;0.117762246;0.350867532;0.003221324;0.936940241;0.049003158;0.032482599
0.276479725;0.798487773;0.305313974;0.040542375;0.428733098;0.234475743;0.414265699;0.079076205;0.451146209;0.271441235;0.287703016
0.110231326;0.669259151;0.19237568;0.023984254;0.45823068;0.233186361;0.634556815;0.379816198;0.423560216;0.133819249;0.357308585
0.292937635;0.756551974;0.316372042;0.022441097;0.266051574;0.148199644;0.462633555;0.055348595;0.555653918;0.114724738;0.171693735
0;0.676887856;0.371093291;0.016908633;0.3421187;0.207080826;0.438783706;0.007756154;0.499429758;0.256492527;0.215777262
0.738889726;0.840193805;0.414159827;0.030295951;0.204312013;0.13187041;0.353355392;0.015817857;0.513214494;0.158050274;0.116009281
0.070712255;0.80480386;0.739976076;0.021508735;0.051727709;0.031958723;0.326711045;0.328113405;0.826552953;0.16595243;0.081206497
0.29597956;0.712382517;0.571125655;0.019695145;0.122804469;0.062978393;0.287538875;0.122759358;0.593884374;0.278283478;0.05800464
0.280457905;0.802866172;0.135402326;0.023670782;0.446155815;0.359231389;0.344774046;0.337779388;0.530200006;0.126212925;0.345707657
0;0.776053335;0.253143569;0.030823565;0.307743924;0.21189069;0.436508891;0.005922992;0.554158753;0.03891515;0.3387471
0;0.896057149;0.519171231;0.019936351;0.173032929;0.089966911;0.276783988;0.00425872;0.474386729;0.17493843;0.034802784
0.05145366;0.806435112;0.290694979;0.031836209;0.189155056;0.124955676;0.363847549;0.028658268;0.437732088;0.151241794;0.090487239
0.558479693;0.548216959;0.169980588;0.012202914;0.452972197;0.274136358;0.57953723;0.338035783;0.455384759;0.298689045;0.241299304
0.935960257;0.762709028;0.129800351;0.025632018;0.905065272;0.609450995;0.734556219;0.133907438;0.503345201;0.228600836;0.16937355
0.014140916;0.701374095;0.755127411;0.028996223;0.162872374;0.142413795;0.349208824;0.003859866;0.89546022;0.086718233;0.051044084
